MMWRyear,MMWRweek,MMWRday,region,establishments,visits
2020,5,2,AK,6,34
2020,5,2,AL,53,630
2020,5,2,AR,25,207
2020,5,2,AZ,150,1400
2020,5,2,CA,847,5201
2020,5,2,CO,168,807
2020,5,2,CT,50,295
2020,5,2,DC,41,408
2020,5,2,DE,17,97
2020,5,2,FL,569,5555
2020,5,2,GA,151,1581
2020,5,2,HI,37,525
2020,5,2,IA,66,640
2020,5,2,ID,38,198
2020,5,2,IL,333,2880
2020,5,2,IN,128,1278
2020,5,2,KS,35,307
2020,5,2,KY,77,804
2020,5,2,LA,113,1273
2020,5,2,MA,116,753
2020,5,2,MD,79,637
2020,5,2,ME,38,140
2020,5,2,MI,181,1353
2020,5,2,MN,86,1000
2020,5,2,MO,117,1360
2020,5,2,MS,35,255
2020,5,2,MT,33,198
2020,5,2,NC,243,1835
2020,5,2,ND,12,121
2020,5,2,NE,48,372
2020,5,2,NH,30,218
2020,5,2,NJ,136,1253
2020,5,2,NM,20,78
2020,5,2,NV,71,1873
2020,5,2,NY,535,4880
2020,5,2,OH,254,1946
2020,5,2,OK,61,440
2020,5,2,OR,189,1017
2020,5,2,PA,240,2124
2020,5,2,RI,17,118
2020,5,2,SC,86,575
2020,5,2,SD,13,81
2020,5,2,TN,143,1496
2020,5,2,TX,648,5876
2020,5,2,UT,26,183
2020,5,2,VA,99,974
2020,5,2,VT,23,71
2020,5,2,WA,225,1582
2020,5,2,WI,174,909
2020,5,2,WV,20,177
2020,5,2,WY,19,95
2020,5,3,AK,6,49
2020,5,3,AL,53,672
2020,5,3,AR,25,273
2020,5,3,AZ,150,1349
2020,5,3,CA,847,4970
2020,5,3,CO,168,981
2020,5,3,CT,50,332
2020,5,3,DC,41,392
2020,5,3,DE,17,117
2020,5,3,FL,569,5195
2020,5,3,GA,151,1683
2020,5,3,HI,37,524
2020,5,3,IA,66,512
2020,5,3,ID,38,188
2020,5,3,IL,333,2256
2020,5,3,IN,128,1327
2020,5,3,KS,35,272
2020,5,3,KY,77,493
2020,5,3,LA,113,1128
2020,5,3,MA,116,674
2020,5,3,MD,79,622
2020,5,3,ME,38,145
2020,5,3,MI,181,1510
2020,5,3,MN,86,896
2020,5,3,MO,117,1289
2020,5,3,MS,35,278
2020,5,3,MT,33,171
2020,5,3,NC,243,1779
2020,5,3,ND,12,125
2020,5,3,NE,48,386
2020,5,3,NH,30,168
2020,5,3,NJ,136,1299
2020,5,3,NM,20,83
2020,5,3,NV,71,1706
2020,5,3,NY,535,4729
2020,5,3,OH,254,1973
2020,5,3,OK,61,357
2020,5,3,OR,189,950
2020,5,3,PA,240,2009
2020,5,3,RI,17,106
2020,5,3,SC,86,565
2020,5,3,SD,13,67
2020,5,3,TN,143,1315
2020,5,3,TX,648,5711
2020,5,3,UT,26,149
2020,5,3,VA,99,967
2020,5,3,VT,23,73
2020,5,3,WA,225,1584
2020,5,3,WI,174,913
2020,5,3,WV,20,157
2020,5,3,WY,19,111
2020,5,4,AK,6,44
2020,5,4,AL,53,676
2020,5,4,AR,25,269
2020,5,4,AZ,150,1631
2020,5,4,CA,847,5182
2020,5,4,CO,168,1016
2020,5,4,CT,50,342
2020,5,4,DC,41,451
2020,5,4,DE,17,96
2020,5,4,FL,569,5719
2020,5,4,GA,151,1811
2020,5,4,HI,37,484
2020,5,4,IA,66,561
2020,5,4,ID,38,205
2020,5,4,IL,333,2496
2020,5,4,IN,128,1451
2020,5,4,KS,35,295
2020,5,4,KY,77,587
2020,5,4,LA,113,1272
2020,5,4,MA,116,787
2020,5,4,MD,79,677
2020,5,4,ME,38,123
2020,5,4,MI,181,1673
2020,5,4,MN,86,969
2020,5,4,MO,117,1242
2020,5,4,MS,35,380
2020,5,4,MT,33,185
2020,5,4,NC,243,2003
2020,5,4,ND,12,143
2020,5,4,NE,48,380
2020,5,4,NH,30,232
2020,5,4,NJ,136,1365
2020,5,4,NM,20,75
2020,5,4,NV,71,1721
2020,5,4,NY,535,5133
2020,5,4,OH,254,2170
2020,5,4,OK,61,456
2020,5,4,OR,189,1210
2020,5,4,PA,240,2320
2020,5,4,RI,17,117
2020,5,4,SC,86,600
2020,5,4,SD,13,77
2020,5,4,TN,143,1554
2020,5,4,TX,648,6331
2020,5,4,UT,26,198
2020,5,4,VA,99,890
2020,5,4,VT,23,101
2020,5,4,WA,225,1650
2020,5,4,WI,174,1040
2020,5,4,WV,20,187
2020,5,4,WY,19,105
2020,5,5,AK,6,56
2020,5,5,AL,53,695
2020,5,5,AR,25,271
2020,5,5,AZ,150,2022
2020,5,5,CA,847,6331
2020,5,5,CO,168,1165
2020,5,5,CT,50,406
2020,5,5,DC,41,438
2020,5,5,DE,17,146
2020,5,5,FL,569,6529
2020,5,5,GA,151,1939
2020,5,5,HI,37,575
2020,5,5,IA,66,590
2020,5,5,ID,38,289
2020,5,5,IL,333,2899
2020,5,5,IN,128,1600
2020,5,5,KS,35,309
2020,5,5,KY,77,698
2020,5,5,LA,113,1611
2020,5,5,MA,116,842
2020,5,5,MD,79,762
2020,5,5,ME,38,171
2020,5,5,MI,181,1970
2020,5,5,MN,86,1085
2020,5,5,MO,117,1580
2020,5,5,MS,35,347
2020,5,5,MT,33,201
2020,5,5,NC,243,2131
2020,5,5,ND,12,187
2020,5,5,NE,48,492
2020,5,5,NH,30,212
2020,5,5,NJ,136,1463
2020,5,5,NM,20,98
2020,5,5,NV,71,2010
2020,5,5,NY,535,5612
2020,5,5,OH,254,2277
2020,5,5,OK,61,493
2020,5,5,OR,189,1205
2020,5,5,PA,240,2596
2020,5,5,RI,17,100
2020,5,5,SC,86,626
2020,5,5,SD,13,84
2020,5,5,TN,143,1836
2020,5,5,TX,648,7284
2020,5,5,UT,26,290
2020,5,5,VA,99,984
2020,5,5,VT,23,92
2020,5,5,WA,225,1888
2020,5,5,WI,174,1130
2020,5,5,WV,20,212
2020,5,5,WY,19,143
2020,5,6,AK,6,56
2020,5,6,AL,53,1178
2020,5,6,AR,25,501
2020,5,6,AZ,150,2978
2020,5,6,CA,847,8311
2020,5,6,CO,168,1796
2020,5,6,CT,50,607
2020,5,6,DC,41,543
2020,5,6,DE,17,166
2020,5,6,FL,569,9586
2020,5,6,GA,151,3212
2020,5,6,HI,37,677
2020,5,6,IA,66,951
2020,5,6,ID,38,356
2020,5,6,IL,333,4118
2020,5,6,IN,128,2410
2020,5,6,KS,35,474
2020,5,6,KY,77,1071
2020,5,6,LA,113,2744
2020,5,6,MA,116,1217
2020,5,6,MD,79,1169
2020,5,6,ME,38,217
2020,5,6,MI,181,2998
2020,5,6,MN,86,1603
2020,5,6,MO,117,3242
2020,5,6,MS,35,792
2020,5,6,MT,33,233
2020,5,6,NC,243,3032
2020,5,6,ND,12,267
2020,5,6,NE,48,686
2020,5,6,NH,30,268
2020,5,6,NJ,136,1965
2020,5,6,NM,20,127
2020,5,6,NV,71,2873
2020,5,6,NY,535,6972
2020,5,6,OH,254,3790
2020,5,6,OK,61,888
2020,5,6,OR,189,1530
2020,5,6,PA,240,3442
2020,5,6,RI,17,143
2020,5,6,SC,86,985
2020,5,6,SD,13,108
2020,5,6,TN,143,2812
2020,5,6,TX,648,10795
2020,5,6,UT,26,321
2020,5,6,VA,99,1532
2020,5,6,VT,23,149
2020,5,6,WA,225,2319
2020,5,6,WI,174,1738
2020,5,6,WV,20,274
2020,5,6,WY,19,199
2020,5,7,AK,6,51
2020,5,7,AL,53,1797
2020,5,7,AR,25,691
2020,5,7,AZ,150,2873
2020,5,7,CA,847,8297
2020,5,7,CO,168,1889
2020,5,7,CT,50,681
2020,5,7,DC,41,445
2020,5,7,DE,17,145
2020,5,7,FL,569,10112
2020,5,7,GA,151,4372
2020,5,7,HI,37,657
2020,5,7,IA,66,905
2020,5,7,ID,38,316
2020,5,7,IL,333,4187
2020,5,7,IN,128,2282
2020,5,7,KS,35,671
2020,5,7,KY,77,1218
2020,5,7,LA,113,3129
2020,5,7,MA,116,1432
2020,5,7,MD,79,1335
2020,5,7,ME,38,202
2020,5,7,MI,181,3299
2020,5,7,MN,86,1637
2020,5,7,MO,117,3043
2020,5,7,MS,35,775
2020,5,7,MT,33,255
2020,5,7,NC,243,3748
2020,5,7,ND,12,155
2020,5,7,NE,48,701
2020,5,7,NH,30,214
2020,5,7,NJ,136,1972
2020,5,7,NM,20,127
2020,5,7,NV,71,3256
2020,5,7,NY,535,6471
2020,5,7,OH,254,4256
2020,5,7,OK,61,1034
2020,5,7,OR,189,1539
2020,5,7,PA,240,3844
2020,5,7,RI,17,143
2020,5,7,SC,86,1168
2020,5,7,SD,13,195
2020,5,7,TN,143,3361
2020,5,7,TX,648,12053
2020,5,7,UT,26,309
2020,5,7,VA,99,1813
2020,5,7,VT,23,143
2020,5,7,WA,225,2009
2020,5,7,WI,174,1708
2020,5,7,WV,20,224
2020,5,7,WY,19,178
2020,6,1,AK,6,27
2020,6,1,AL,53,691
2020,6,1,AR,25,290
2020,6,1,AZ,150,1576
2020,6,1,CA,847,4859
2020,6,1,CO,168,1000
2020,6,1,CT,50,333
2020,6,1,DC,41,259
2020,6,1,DE,17,117
2020,6,1,FL,569,6141
2020,6,1,GA,151,2010
2020,6,1,HI,37,469
2020,6,1,IA,66,354
2020,6,1,ID,38,200
2020,6,1,IL,333,2405
2020,6,1,IN,128,1117
2020,6,1,KS,35,486
2020,6,1,KY,77,593
2020,6,1,LA,113,1848
2020,6,1,MA,116,763
2020,6,1,MD,79,671
2020,6,1,ME,38,114
2020,6,1,MI,181,1543
2020,6,1,MN,86,698
2020,6,1,MO,117,2955
2020,6,1,MS,35,382
2020,6,1,MT,33,133
2020,6,1,NC,243,1763
2020,6,1,ND,12,76
2020,6,1,NE,48,273
2020,6,1,NH,30,120
2020,6,1,NJ,136,1108
2020,6,1,NM,20,75
2020,6,1,NV,71,2801
2020,6,1,NY,535,4254
2020,6,1,OH,254,1888
2020,6,1,OK,61,461
2020,6,1,OR,189,786
2020,6,1,PA,240,1701
2020,6,1,RI,17,75
2020,6,1,SC,86,596
2020,6,1,SD,13,65
2020,6,1,TN,143,1603
2020,6,1,TX,648,6202
2020,6,1,UT,26,232
2020,6,1,VA,99,842
2020,6,1,VT,23,53
2020,6,1,WA,225,1129
2020,6,1,WI,174,880
2020,6,1,WV,20,181
2020,6,1,WY,19,113
2020,6,2,AK,6,32
2020,6,2,AL,54,599
2020,6,2,AR,26,187
2020,6,2,AZ,152,1155
2020,6,2,CA,855,4667
2020,6,2,CO,169,714
2020,6,2,CT,50,284
2020,6,2,DC,41,373
2020,6,2,DE,17,120
2020,6,2,FL,568,4985
2020,6,2,GA,150,1580
2020,6,2,HI,38,454
2020,6,2,IA,65,411
2020,6,2,ID,38,193
2020,6,2,IL,327,2063
2020,6,2,IN,128,1352
2020,6,2,KS,35,245
2020,6,2,KY,76,497
2020,6,2,LA,113,1172
2020,6,2,MA,118,669
2020,6,2,MD,77,563
2020,6,2,ME,37,122
