MMWRyear,MMWRweek,MMWRday,region,establishments,visits
2020,5,2,AK,925,4325
2020,5,2,AL,5386,80692
2020,5,2,AR,3262,42189
2020,5,2,AZ,7713,77618
2020,5,2,CA,57668,436033
2020,5,2,CO,7711,61075
2020,5,2,CT,5772,37891
2020,5,2,DC,1799,24182
2020,5,2,DE,1370,9455
2020,5,2,FL,28209,334318
2020,5,2,GA,13048,152706
2020,5,2,HI,2624,26218
2020,5,2,IA,4010,35408
2020,5,2,ID,2109,15014
2020,5,2,IL,17790,160308
2020,5,2,IN,7429,67783
2020,5,2,KS,3129,32834
2020,5,2,KY,4231,49923
2020,5,2,LA,5779,66433
2020,5,2,MA,10453,75829
2020,5,2,MD,7078,67020
2020,5,2,ME,2061,8456
2020,5,2,MI,11560,100115
2020,5,2,MN,5733,55207
2020,5,2,MO,6950,78401
2020,5,2,MS,3127,37899
2020,5,2,MT,1466,6728
2020,5,2,NC,12317,128908
2020,5,2,ND,869,7108
2020,5,2,NE,2318,22288
2020,5,2,NH,1926,10906
2020,5,2,NJ,15391,132708
2020,5,2,NM,2450,16951
2020,5,2,NV,3454,41348
2020,5,2,NY,35047,358740
2020,5,2,OH,13658,128789
2020,5,2,OK,4502,60480
2020,5,2,OR,7220,48265
2020,5,2,PA,18113,147523
2020,5,2,RI,1946,12344
2020,5,2,SC,6732,69425
2020,5,2,SD,1025,7111
2020,5,2,TN,8031,96217
2020,5,2,TX,35965,458227
2020,5,2,UT,3126,27553
2020,5,2,VA,9933,95417
2020,5,2,VT,1002,4188
2020,5,2,WA,10257,77881
2020,5,2,WI,8551,58924
2020,5,2,WV,1883,17003
2020,5,2,WY,756,4186
2020,5,3,AK,925,4432
2020,5,3,AL,5386,82542
2020,5,3,AR,3262,40802
2020,5,3,AZ,7713,75677
2020,5,3,CA,57668,416013
2020,5,3,CO,7711,59232
2020,5,3,CT,5772,35940
2020,5,3,DC,1799,22830
2020,5,3,DE,1370,8826
2020,5,3,FL,28209,301850
2020,5,3,GA,13048,152150
2020,5,3,HI,2624,25463
2020,5,3,IA,4010,35636
2020,5,3,ID,2109,14416
2020,5,3,IL,17790,155449
2020,5,3,IN,7429,65428
2020,5,3,KS,3129,31210
2020,5,3,KY,4231,47846
2020,5,3,LA,5779,63688
2020,5,3,MA,10453,71396
2020,5,3,MD,7078,61944
2020,5,3,ME,2061,8191
2020,5,3,MI,11560,95351
2020,5,3,MN,5733,51236
2020,5,3,MO,6950,76997
2020,5,3,MS,3127,38492
2020,5,3,MT,1466,6617
2020,5,3,NC,12317,126991
2020,5,3,ND,869,7124
2020,5,3,NE,2318,22368
2020,5,3,NH,1926,10489
2020,5,3,NJ,15391,128157
2020,5,3,NM,2450,15916
2020,5,3,NV,3454,38480
2020,5,3,NY,35047,342871
2020,5,3,OH,13658,123917
2020,5,3,OK,4502,53992
2020,5,3,OR,7220,47268
2020,5,3,PA,18113,138034
2020,5,3,RI,1946,11675
2020,5,3,SC,6732,67894
2020,5,3,SD,1025,7303
2020,5,3,TN,8031,92965
2020,5,3,TX,35965,434097
2020,5,3,UT,3126,26432
2020,5,3,VA,9933,90339
2020,5,3,VT,1002,3919
2020,5,3,WA,10257,76645
2020,5,3,WI,8551,58113
2020,5,3,WV,1883,16193
2020,5,3,WY,756,4178
2020,5,4,AK,925,4461
2020,5,4,AL,5386,84772
2020,5,4,AR,3262,43507
2020,5,4,AZ,7713,78412
2020,5,4,CA,57668,430088
2020,5,4,CO,7711,61137
2020,5,4,CT,5772,39668
2020,5,4,DC,1799,25252
2020,5,4,DE,1370,9301
2020,5,4,FL,28209,312822
2020,5,4,GA,13048,156647
2020,5,4,HI,2624,25559
2020,5,4,IA,4010,38293
2020,5,4,ID,2109,14921
2020,5,4,IL,17790,161869
2020,5,4,IN,7429,70550
2020,5,4,KS,3129,34080
2020,5,4,KY,4231,50055
2020,5,4,LA,5779,65649
2020,5,4,MA,10453,77699
2020,5,4,MD,7078,66495
2020,5,4,ME,2061,8774
2020,5,4,MI,11560,101739
2020,5,4,MN,5733,54399
2020,5,4,MO,6950,77882
2020,5,4,MS,3127,39325
2020,5,4,MT,1466,7335
2020,5,4,NC,12317,131539
2020,5,4,ND,869,7335
2020,5,4,NE,2318,23465
2020,5,4,NH,1926,11251
2020,5,4,NJ,15391,134006
2020,5,4,NM,2450,16647
2020,5,4,NV,3454,38481
2020,5,4,NY,35047,363371
2020,5,4,OH,13658,129513
2020,5,4,OK,4502,59030
2020,5,4,OR,7220,48670
2020,5,4,PA,18113,148324
2020,5,4,RI,1946,12109
2020,5,4,SC,6732,70713
2020,5,4,SD,1025,7745
2020,5,4,TN,8031,97520
2020,5,4,TX,35965,454745
2020,5,4,UT,3126,26700
2020,5,4,VA,9933,93085
2020,5,4,VT,1002,4057
2020,5,4,WA,10257,78744
2020,5,4,WI,8551,61137
2020,5,4,WV,1883,17212
2020,5,4,WY,756,4273
2020,5,5,AK,925,5146
2020,5,5,AL,5386,96754
2020,5,5,AR,3262,46251
2020,5,5,AZ,7713,90597
2020,5,5,CA,57668,479440
2020,5,5,CO,7711,68521
2020,5,5,CT,5772,41798
2020,5,5,DC,1799,27397
2020,5,5,DE,1370,10127
2020,5,5,FL,28209,346577
2020,5,5,GA,13048,173952
2020,5,5,HI,2624,27857
2020,5,5,IA,4010,41508
2020,5,5,ID,2109,16812
2020,5,5,IL,17790,178867
2020,5,5,IN,7429,76802
2020,5,5,KS,3129,37951
2020,5,5,KY,4231,54772
2020,5,5,LA,5779,75204
2020,5,5,MA,10453,82602
2020,5,5,MD,7078,69780
2020,5,5,ME,2061,9347
2020,5,5,MI,11560,111723
2020,5,5,MN,5733,60174
2020,5,5,MO,6950,89751
2020,5,5,MS,3127,46198
2020,5,5,MT,1466,7946
2020,5,5,NC,12317,143709
2020,5,5,ND,869,8174
2020,5,5,NE,2318,25995
2020,5,5,NH,1926,12644
2020,5,5,NJ,15391,141100
2020,5,5,NM,2450,19044
2020,5,5,NV,3454,45002
2020,5,5,NY,35047,381024
2020,5,5,OH,13658,142977
2020,5,5,OK,4502,66526
2020,5,5,OR,7220,55305
2020,5,5,PA,18113,159075
2020,5,5,RI,1946,13227
2020,5,5,SC,6732,81377
2020,5,5,SD,1025,8277
2020,5,5,TN,8031,109354
2020,5,5,TX,35965,505765
2020,5,5,UT,3126,29933
2020,5,5,VA,9933,100582
2020,5,5,VT,1002,4909
2020,5,5,WA,10257,86813
2020,5,5,WI,8551,69244
2020,5,5,WV,1883,18874
2020,5,5,WY,756,4897
2020,5,6,AK,925,6165
2020,5,6,AL,5386,138479
2020,5,6,AR,3262,66499
2020,5,6,AZ,7713,119226
2020,5,6,CA,57668,580583
2020,5,6,CO,7711,92905
