region,NAME,MMWRyear,MMWRweek,start_date,detail,detail_date,cases,cases_pc,deaths,deaths_pc,bar_visits,bar_per,rest_visits,rest_per,total_devices,population,shutdown_baseline,bars_reopen_baseline,rest_reopen_baseline,reclosed_baseline,reopened_again_baseline
AL,Alabama,2020,9,2020-02-23,,,0,0,0,0,6311,0.04522791011108021,718631,5.15008370639133,139537732,4903185,-5,-11,-11,,
AL,Alabama,2020,10,2020-03-01,,,0,0,0,0,5936,0.04458547354497342,719495,5.404148465000111,133137534,4903185,-4,-10,-10,,
AL,Alabama,2020,11,2020-03-08,,,12,0.02,0,0,7398,0.05999898493201486,681625,5.528089768083891,123302086,4903185,-3,-9,-9,,
AL,Alabama,2020,12,2020-03-15,,,125,0.25,0,0,4201,0.03682209975302284,348666,3.0560852731462655,114089094,4903185,-2,-8,-8,,
AL,Alabama,2020,13,2020-03-22,,,581,1.18,3,0.06,1466,0.013059985752856197,238169,2.121748804073675,112251271,4903185,-1,-7,-7,,
AL,Alabama,2020,14,2020-03-29,shut down,2020-04-04,921,1.88,23,0.47,1253,0.010608789581135692,233292,1.9752160725956167,118109610,4903185,0,-6,-6,,
AL,Alabama,2020,15,2020-04-05,,,1467,2.99,63,1.28,1133,0.00967602532177396,217982,1.861605782604529,117093534,4903185,1,-5,-5,,
AL,Alabama,2020,16,2020-04-12,,,1623,3.31,58,1.18,1234,0.011709335205814814,248927,2.362049987664396,105386000,4903185,2,-4,-4,,
AL,Alabama,2020,17,2020-04-19,,,1490,3.04,66,1.35,1446,0.013021774207550295,269216,2.4243914004563347,111044776,4903185,3,-3,-3,,
AL,Alabama,2020,18,2020-04-26,,,1132,2.31,76,1.55,1830,0.016680718881011438,306265,2.7916504743677417,109707502,4903185,4,-2,-2,,
AL,Alabama,2020,19,2020-05-03,,,2323,4.74,101,2.06,2317,0.02030584208892411,342291,2.9997872224686764,114105093,4903185,5,-1,-1,,
AL,Alabama,2020,20,2020-05-10,restaurants reopen,2020-05-11,2006,4.09,95,1.94,4944,0.04391542581827856,453866,4.031496491593611,112580031,4903185,6,0,0,,
AL,Alabama,2020,20,2020-05-10,bars reopen,2020-05-11,2006,4.09,95,1.94,4944,0.04391542581827856,453866,4.031496491593611,112580031,4903185,6,0,0,,
AL,Alabama,2020,21,2020-05-17,,,2443,4.98,64,1.31,6405,0.057332433320052736,519517,4.650300353026361,111716870,4903185,7,1,1,,
AL,Alabama,2020,22,2020-05-24,,,3242,6.61,69,1.41,7510,0.06775979975652849,525977,4.745685245877441,110832677,4903185,8,2,2,,
AL,Alabama,2020,23,2020-05-31,,,2684,5.47,71,1.45,7138,0.06003429759926477,578459,4.865141461890319,118898701,4903185,9,3,3,,
AL,Alabama,2020,24,2020-06-07,,,4558,9.3,84,1.71,7596,0.06504368069344715,591534,5.065238101016004,116783059,4903185,10,4,4,,
AL,Alabama,2020,25,2020-06-14,,,4948,10.09,65,1.33,8608,0.07607330391042764,621223,5.490065761518076,113154018,4903185,11,5,5,,
AL,Alabama,2020,26,2020-06-21,,,5534,11.29,81,1.65,8270,0.0706503762675015,615490,5.258113674593046,117055286,4903185,12,6,6,,
AL,Alabama,2020,27,2020-06-28,,,7779,15.87,88,1.79,7127,0.06352257633094971,554857,4.9454112719604,112196331,4903185,13,7,7,,
AL,Alabama,2020,28,2020-07-05,,,9048,18.45,106,2.16,7274,0.06408455256309004,570810,5.028884169444244,113506293,4903185,14,8,8,,
AL,Alabama,2020,29,2020-07-12,,,13250,27.02,173,3.53,7425,0.06425642059024954,573900,4.966566973298883,115552655,4903185,15,9,9,,
AL,Alabama,2020,30,2020-07-19,,,12970,26.45,170,3.47,8053,0.06864435663986684,587481,5.007730694541862,117314815,4903185,16,10,10,,
AK,Alaska,2020,9,2020-02-23,,,0,0,0,0,366,0.002622946458668255,32630,0.23384355996269166,139537732,731545,-4,-10,-8,,
AK,Alaska,2020,10,2020-03-01,,,0,0,0,0,279,0.0020955773448530298,30008,0.22539098553530365,133137534,731545,-3,-9,-7,,
AK,Alaska,2020,11,2020-03-08,,,1,0.01,0,0,261,0.0021167525097669474,27597,0.22381616479708216,123302086,731545,-2,-8,-6,,
AK,Alaska,2020,12,2020-03-15,,,13,0.18,0,0,179,0.0015689492634589595,14247,0.1248760902597754,114089094,731545,-1,-7,-5,,
AK,Alaska,2020,13,2020-03-22,shut down,2020-03-28,88,1.2,2,0.27,158,0.001407556445396507,10415,0.09278291378990265,112251271,731545,0,-6,-4,,
AK,Alaska,2020,14,2020-03-29,,,73,1,3,0.41,74,6.265366552306794e-4,9407,0.07964635561831082,118109610,731545,1,-5,-3,,
AK,Alaska,2020,15,2020-04-05,,,86,1.18,3,0.41,71,6.06352866589542e-4,9446,0.0806705518000678,117093534,731545,2,-4,-2,,
AK,Alaska,2020,16,2020-04-12,,,57,0.78,1,0.14,81,7.68603040252026e-4,9801,0.09300096787049514,105386000,731545,3,-3,-1,,
AK,Alaska,2020,17,2020-04-19,restaurants reopen,2020-04-24,25,0.34,0,0,121,0.0010896505388060759,11481,0.10339072591762442,111044776,731545,4,-2,0,,
AK,Alaska,2020,18,2020-04-26,,,26,0.36,0,0,99,9.023995460219302e-4,13015,0.11863363728763052,109707502,731545,5,-1,1,,
AK,Alaska,2020,19,2020-05-03,bars reopen,2020-05-08,13,0.18,1,0.14,87,7.624550115392308e-4,14406,0.12625203329004778,114105093,731545,6,0,2,,
AK,Alaska,2020,20,2020-05-10,,,14,0.19,0,0,139,0.0012346772226417312,16305,0.1448303029868592,112580031,731545,7,1,3,,
AK,Alaska,2020,21,2020-05-17,,,16,0.22,0,0,134,0.001199460743932407,17961,0.16077249568485044,111716870,731545,8,2,4,,
AK,Alaska,2020,22,2020-05-24,,,26,0.36,0,0,143,0.001290233204418585,18970,0.17115890830643748,110832677,731545,9,3,5,,
AK,Alaska,2020,23,2020-05-31,,,102,1.39,0,0,162,0.0013625043725246418,21547,0.1812214920665954,118898701,731545,10,4,6,,
AK,Alaska,2020,24,2020-06-07,,,118,1.61,2,0.27,169,0.0014471277036851723,22765,0.19493409570646716,116783059,731545,11,5,7,,
AK,Alaska,2020,25,2020-06-14,,,89,1.22,0,0,164,0.0014493519797061027,22847,0.2019106382947886,113154018,731545,12,6,8,,
AK,Alaska,2020,26,2020-06-21,,,111,1.52,2,0.27,173,0.0014779341105535379,24222,0.20692786142096992,117055286,731545,13,7,9,,
AK,Alaska,2020,27,2020-06-28,,,257,3.51,2,0.27,167,0.0014884622207476641,22352,0.1992222009470167,112196331,731545,14,8,10,,
AK,Alaska,2020,28,2020-07-05,,,274,3.75,1,0.14,137,0.0012069815371382095,21999,0.19381304259491586,113506293,731545,15,9,11,,
AK,Alaska,2020,29,2020-07-12,,,410,5.6,1,0.14,155,0.0013413798237695187,23061,0.1995713555867669,115552655,731545,16,10,12,,
AK,Alaska,2020,30,2020-07-19,,,543,7.42,2,0.27,147,0.0012530386720551875,23455,0.19993212280989403,117314815,731545,17,11,13,,
AZ,Arizona,2020,9,2020-02-23,,,0,0,0,0,12047,0.08633507100430729,605547,4.339664915866627,139537732,7278717,-5,-11,-11,-18,
AZ,Arizona,2020,10,2020-03-01,,,0,0,0,0,10440,0.0784151522590166,563490,4.232390243911232,133137534,7278717,-4,-10,-10,-17,
AZ,Arizona,2020,11,2020-03-08,,,10,0.01,0,0,9781,0.07932550305758818,518335,4.203781272605558,123302086,7278717,-3,-9,-9,-16,
AZ,Arizona,2020,12,2020-03-15,,,92,0.13,1,0.01,4788,0.041967201527606135,286016,2.5069530309356303,114089094,7278717,-2,-8,-8,-15,
AZ,Arizona,2020,13,2020-03-22,,,669,0.92,14,0.19,2450,0.021826033488743304,198084,1.7646481704425423,112251271,7278717,-1,-7,-7,-14,
AZ,Arizona,2020,14,2020-03-29,shut down,2020-03-31,1246,1.71,37,0.51,1924,0.016289953035997663,176424,1.493731119762397,118109610,7278717,0,-6,-6,-13,
AZ,Arizona,2020,15,2020-04-05,,,1374,1.89,56,0.77,1802,0.015389406557666968,164127,1.4016743230245319,117093534,7278717,1,-5,-5,-12,
AZ,Arizona,2020,16,2020-04-12,,,1326,1.82,69,0.95,1742,0.016529709828629988,166468,1.5796026037614106,105386000,7278717,2,-4,-4,-11,
AZ,Arizona,2020,17,2020-04-19,,,1561,2.14,96,1.32,2063,0.018578091417825907,183562,1.653044894250586,111044776,7278717,3,-3,-3,-10,
AZ,Arizona,2020,18,2020-04-26,,,2084,2.86,75,1.03,2167,0.019752523396257805,191278,1.7435270743836644,109707502,7278717,4,-2,-2,-9,
AZ,Arizona,2020,19,2020-05-03,,,2596,3.57,184,2.53,2187,0.01916654149696894,200903,1.7606838986582307,114105093,7278717,5,-1,-1,-8,
AZ,Arizona,2020,20,2020-05-10,restaurants reopen,2020-05-11,2671,3.67,147,2.02,3348,0.029738844182766302,267587,2.376860244424697,112580031,7278717,6,0,0,-7,
