state,date,restaurants,bars,Limits,note1,note2
AL,5/11/20,T,T,,Restrictions 11 PM alcohol curfew,"Eight people at a table, six feet between tables"
AR,5/11/20,T,F,,,
AR,5/26/20,T,T,,,
AK,4/22/20,T,T,T,,
AK,5/29/20,T,T,F,Anchorage: NO bars and restaurants closed last week,
AZ,5/15/20,T,T,T,"bars closed since late June, restaurants open with 50 percent capacity",
AZ,6/29/20,T,C,,,
CA,7/13/20,F,F,,,
CA,5/1/20,T,F,,,
CA,6/1/20,T,T,,,
CO,7/1/20,F,F,,,
CO,7/28/20,T,T,T,,
CT,6/27/20,T,F,,,
DE,7/1/20,T,T,,But no bars in beach towns since July,
FL,5/4/20,T,F,,,
FL,6/1/20,T,T,,,
FL,6/26/20,T,C,,,
GA,4/26/20,T,F,,,
GA,6/1/20,T,T,,,
HI,4/26/20,T,F,,,
HI,6/19/20,T,T,,,
HI,7/1/20,T,C,,,
ID,5/10/20,T,F,,,
ID,6/1/20,T,T,,,
IL,6/24/20,T,T,,,
IN,5/1/20,T,T,,,
IN,8/11/20,,C,,,
IA,4/20/20,T,F,,,
IA,5/27/20,T,T,,,
KS,5/15/20,T,F,,,
KS,5/29/20,T,T,,,
KY,6/1/20,T,T,,,
LA,5/15/20,T,F,,,
LA,6/1/20,T,T,,,
LA,7/15/20,T,C,,,
ME,6/15/20,T,F,,,
MD,6/10/20,T,T,,,
MA,6/22/20,T,F,,,
MI,6/1/20,T,T,,,
MI,7/1/20,T,C,,,
MN,6/10/20,T,T,,,
MS,5/7/20,T,T,,,
MO,5/16/20,T,T,,,
MT,5/1/20,T,T,,,
NE,5/10/20,T,T,,,
NV,5/9/20,T,F,,,
NV,5/29/20,T,T,,,
NV,6/9/20,T,C,,,
NH,6/15/20,T,T,,,
NM,6/1/20,T,F,,,
NM,7/24/20,C,F,,,
NC,5/20/20,T,F,,,
ND,5/1/20,T,T,,,
OH,5/21/20,T,T,,,
OK,5/1/20,T,T,,,
OR,5/10/20,T,T,,,
PA,5/27/20,T,T,,,
PA,7/15/20,T,C,,,
RI,5/25/20,T,F,,,
RI,6/1/20,T,T,,,
RI,7/15/20,T,F,,,
SC,5/10/20,T,T,,,
SD,5/29/20,T,T,,,
TN,4/24/20,T,F,,,
TN,5/3/20,T,T,,,
TX,4/24/20,T,F,,,
TX,5/10/20,T,T,,,
TX,6/26/20,T,C,,,
UT,5/1/20,T,T,,,
VT,6/11/20,T,T,,,
VA,6/1/20,T,F,,,
WA,6/10/20,T,T,,,
WA,7/24/20,T,C,,,
WV,5/21/20,T,F,,,
WV,5/26/20,T,T,,,
WI,5/14/20,T,T,,,
DC,6/21/20,T,T,,,
