STATE,REPORTDATE,cases,deaths,MMWRyear,MMWRweek,MMWRday
Massachusetts,2/29/20,0,0,2020,9,7
New Jersey,2/29/20,0,0,2020,9,7
Virginia,2/29/20,0,0,2020,9,7
Washington,2/29/20,36,6,2020,9,7
Alaska,2/29/20,0,0,2020,9,7
Alabama,2/29/20,0,0,2020,9,7
Arkansas,2/29/20,,,2020,9,7
Arizona,2/29/20,0,0,2020,9,7
California,2/29/20,1,0,2020,9,7
Colorado,2/29/20,0,0,2020,9,7
Connecticut,2/29/20,0,0,2020,9,7
District of Columbia,2/29/20,0,0,2020,9,7
Delaware,2/29/20,0,0,2020,9,7
Florida,2/29/20,0,0,2020,9,7
Georgia,2/29/20,0,0,2020,9,7
Guam,2/29/20,,,2020,9,7
Hawaii,2/29/20,0,0,2020,9,7
Iowa,2/29/20,0,0,2020,9,7
Idaho,2/29/20,0,0,2020,9,7
Illinois,2/29/20,0,0,2020,9,7
Indiana,2/29/20,0,0,2020,9,7
Kansas,2/29/20,0,0,2020,9,7
Kentucky,2/29/20,0,0,2020,9,7
Louisiana,2/29/20,0,0,2020,9,7
Maryland,2/29/20,0,0,2020,9,7
Maine,2/29/20,0,0,2020,9,7
Michigan,2/29/20,0,0,2020,9,7
Minnesota,2/29/20,0,0,2020,9,7
Missouri,2/29/20,0,0,2020,9,7
Mississippi,2/29/20,0,0,2020,9,7
Montana,2/29/20,0,0,2020,9,7
North Carolina,2/29/20,0,0,2020,9,7
North Dakota,2/29/20,0,0,2020,9,7
Nebraska,2/29/20,0,0,2020,9,7
New Hampshire,2/29/20,0,0,2020,9,7
New Mexico,2/29/20,0,0,2020,9,7
Nevada,2/29/20,0,0,2020,9,7
New York,2/29/20,0,0,2020,9,7
Ohio,2/29/20,0,0,2020,9,7
Oklahoma,2/29/20,0,0,2020,9,7
Oregon,2/29/20,1,0,2020,9,7
Pennsylvania,2/29/20,0,0,2020,9,7
Puerto Rico,2/29/20,,,2020,9,7
Rhode Island,2/29/20,0,0,2020,9,7
South Carolina,2/29/20,0,0,2020,9,7
South Dakota,2/29/20,0,0,2020,9,7
Tennessee,2/29/20,0,0,2020,9,7
Texas,2/29/20,0,0,2020,9,7
Utah,2/29/20,0,0,2020,9,7
Virgin Islands,2/29/20,,,2020,9,7
Vermont,2/29/20,0,0,2020,9,7
Wisconsin,2/29/20,0,0,2020,9,7
West Virginia,2/29/20,0,0,2020,9,7
Wyoming,2/29/20,0,0,2020,9,7
Massachusetts,3/1/20,4,0,2020,10,1
Michigan,3/1/20,0,0,2020,10,1
New Jersey,3/1/20,0,0,2020,10,1
Rhode Island,3/1/20,1,0,2020,10,1
Virginia,3/1/20,0,0,2020,10,1
Washington,3/1/20,23,3,2020,10,1
Alaska,3/1/20,0,0,2020,10,1
Alabama,3/1/20,0,0,2020,10,1
Arkansas,3/1/20,,,2020,10,1
Arizona,3/1/20,0,0,2020,10,1
California,3/1/20,1,0,2020,10,1
Colorado,3/1/20,0,0,2020,10,1
Connecticut,3/1/20,0,0,2020,10,1
District of Columbia,3/1/20,0,0,2020,10,1
Delaware,3/1/20,0,0,2020,10,1
Florida,3/1/20,0,0,2020,10,1
Georgia,3/1/20,0,0,2020,10,1
Guam,3/1/20,,,2020,10,1
Hawaii,3/1/20,0,0,2020,10,1
Iowa,3/1/20,0,0,2020,10,1
Idaho,3/1/20,0,0,2020,10,1
Illinois,3/1/20,2,0,2020,10,1
Indiana,3/1/20,0,0,2020,10,1
Kansas,3/1/20,0,0,2020,10,1
Kentucky,3/1/20,0,0,2020,10,1
Louisiana,3/1/20,0,0,2020,10,1
Maryland,3/1/20,0,0,2020,10,1
Maine,3/1/20,0,0,2020,10,1
Minnesota,3/1/20,0,0,2020,10,1
Missouri,3/1/20,0,0,2020,10,1
Mississippi,3/1/20,0,0,2020,10,1
Montana,3/1/20,0,0,2020,10,1
North Carolina,3/1/20,0,0,2020,10,1
North Dakota,3/1/20,0,0,2020,10,1
Nebraska,3/1/20,0,0,2020,10,1
New Hampshire,3/1/20,0,0,2020,10,1
New Mexico,3/1/20,0,0,2020,10,1
Nevada,3/1/20,0,0,2020,10,1
New York,3/1/20,0,0,2020,10,1
Ohio,3/1/20,0,0,2020,10,1
Oklahoma,3/1/20,0,0,2020,10,1
Oregon,3/1/20,1,0,2020,10,1
Pennsylvania,3/1/20,0,0,2020,10,1
Puerto Rico,3/1/20,,,2020,10,1
South Carolina,3/1/20,0,0,2020,10,1
South Dakota,3/1/20,0,0,2020,10,1
Tennessee,3/1/20,0,0,2020,10,1
Texas,3/1/20,0,0,2020,10,1
Utah,3/1/20,0,0,2020,10,1
Virgin Islands,3/1/20,,,2020,10,1
Vermont,3/1/20,0,0,2020,10,1
Wisconsin,3/1/20,0,0,2020,10,1
West Virginia,3/1/20,0,0,2020,10,1
Wyoming,3/1/20,0,0,2020,10,1
Massachusetts,3/2/20,2,0,2020,10,2
Michigan,3/2/20,0,0,2020,10,2
New Jersey,3/2/20,0,0,2020,10,2
Rhode Island,3/2/20,0,0,2020,10,2
Virginia,3/2/20,0,0,2020,10,2
Washington,3/2/20,70,5,2020,10,2
Alaska,3/2/20,0,0,2020,10,2
Alabama,3/2/20,0,0,2020,10,2
Arkansas,3/2/20,,,2020,10,2
Arizona,3/2/20,0,0,2020,10,2
California,3/2/20,0,0,2020,10,2
Colorado,3/2/20,0,0,2020,10,2
Connecticut,3/2/20,0,0,2020,10,2
District of Columbia,3/2/20,0,0,2020,10,2
Delaware,3/2/20,0,0,2020,10,2
Florida,3/2/20,2,0,2020,10,2
Georgia,3/2/20,2,0,2020,10,2
Guam,3/2/20,,,2020,10,2
Hawaii,3/2/20,0,0,2020,10,2
Iowa,3/2/20,0,0,2020,10,2
Idaho,3/2/20,0,0,2020,10,2
Illinois,3/2/20,1,0,2020,10,2
Indiana,3/2/20,0,0,2020,10,2
Kansas,3/2/20,0,0,2020,10,2
Kentucky,3/2/20,0,0,2020,10,2
Louisiana,3/2/20,0,0,2020,10,2
Maryland,3/2/20,0,0,2020,10,2
Maine,3/2/20,0,0,2020,10,2
Minnesota,3/2/20,0,0,2020,10,2
Missouri,3/2/20,0,0,2020,10,2
Mississippi,3/2/20,0,0,2020,10,2
Montana,3/2/20,0,0,2020,10,2
North Carolina,3/2/20,0,0,2020,10,2
North Dakota,3/2/20,0,0,2020,10,2
Nebraska,3/2/20,0,0,2020,10,2
New Hampshire,3/2/20,1,0,2020,10,2
New Mexico,3/2/20,0,0,2020,10,2
Nevada,3/2/20,0,0,2020,10,2
New York,3/2/20,1,0,2020,10,2
Ohio,3/2/20,0,0,2020,10,2
Oklahoma,3/2/20,0,0,2020,10,2
Oregon,3/2/20,1,0,2020,10,2
Pennsylvania,3/2/20,0,0,2020,10,2
Puerto Rico,3/2/20,,,2020,10,2
South Carolina,3/2/20,0,0,2020,10,2
South Dakota,3/2/20,0,0,2020,10,2
Tennessee,3/2/20,0,0,2020,10,2
Texas,3/2/20,0,0,2020,10,2
Utah,3/2/20,0,0,2020,10,2
Virgin Islands,3/2/20,,,2020,10,2
Vermont,3/2/20,0,0,2020,10,2
Wisconsin,3/2/20,0,0,2020,10,2
West Virginia,3/2/20,0,0,2020,10,2
Wyoming,3/2/20,0,0,2020,10,2
Massachusetts,3/3/20,4,0,2020,10,3
Michigan,3/3/20,0,0,2020,10,3
New Jersey,3/3/20,0,0,2020,10,3
Rhode Island,3/3/20,0,0,2020,10,3
Virginia,3/3/20,0,0,2020,10,3
Washington,3/3/20,65,7,2020,10,3
